Segmentation List:
1: X= 11 | Y= 34 | Pose= Vertical | Length= 759
2: X= 11 | Y= 35 | Pose= Horizontal | Length= 728
3: X= 12 | Y= 762 | Pose= Vertical | Length= 571
4: X= 13 | Y= 470 | Pose= Vertical | Length= 3
5: X= 13 | Y= 471 | Pose= Horizontal | Length= 2
6: X= 14 | Y= 472 | Pose= Vertical | Length= 2
7: X= 15 | Y= 471 | Pose= Vertical | Length= 1
8: X= 46 | Y= 552 | Pose= Vertical | Length= 3
9: X= 46 | Y= 553 | Pose= Horizontal | Length= 2
10: X= 47 | Y= 554 | Pose= Vertical | Length= 2
11: X= 48 | Y= 553 | Pose= Vertical | Length= 1
12: X= 85 | Y= 452 | Pose= Horizontal | Length= 4
13: X= 85 | Y= 458 | Pose= Horizontal | Length= 9
14: X= 85 | Y= 468 | Pose= Vertical | Length= 4
15: X= 85 | Y= 469 | Pose= Horizontal | Length= 2
16: X= 86 | Y= 447 | Pose= Horizontal | Length= 6
17: X= 86 | Y= 455 | Pose= Horizontal | Length= 4
18: X= 86 | Y= 466 | Pose= Horizontal | Length= 2
19: X= 86 | Y= 470 | Pose= Vertical | Length= 2
20: X= 87 | Y= 435 | Pose= Horizontal | Length= 13
21: X= 87 | Y= 469 | Pose= Vertical | Length= 1
22: X= 88 | Y= 428 | Pose= Horizontal | Length= 8
23: X= 88 | Y= 443 | Pose= Vertical | Length= 1
24: X= 88 | Y= 459 | Pose= Horizontal | Length= 9
25: X= 89 | Y= 428 | Pose= Vertical | Length= 4
26: X= 89 | Y= 449 | Pose= Horizontal | Length= 11
27: X= 90 | Y= 449 | Pose= Vertical | Length= 2
28: X= 91 | Y= 440 | Pose= Horizontal | Length= 9
29: X= 92 | Y= 429 | Pose= Horizontal | Length= 12
30: X= 102 | Y= 480 | Pose= Horizontal | Length= 6
31: X= 103 | Y= 479 | Pose= Vertical | Length= 5
32: X= 103 | Y= 480 | Pose= Vertical | Length= 1
33: X= 103 | Y= 485 | Pose= Vertical | Length= 4
34: X= 103 | Y= 517 | Pose= Vertical | Length= 4
35: X= 103 | Y= 518 | Pose= Horizontal | Length= 3
36: X= 104 | Y= 520 | Pose= Vertical | Length= 3
37: X= 106 | Y= 484 | Pose= Vertical | Length= 2
38: X= 106 | Y= 489 | Pose= Horizontal | Length= 3
39: X= 106 | Y= 518 | Pose= Horizontal | Length= 2
40: X= 107 | Y= 480 | Pose= Horizontal | Length= 4
41: X= 107 | Y= 488 | Pose= Vertical | Length= 5
42: X= 107 | Y= 489 | Pose= Vertical | Length= 1
43: X= 107 | Y= 491 | Pose= Horizontal | Length= 2
44: X= 108 | Y= 492 | Pose= Vertical | Length= 2
45: X= 109 | Y= 491 | Pose= Vertical | Length= 4
46: X= 110 | Y= 454 | Pose= Horizontal | Length= 6
47: X= 110 | Y= 500 | Pose= Vertical | Length= 3
48: X= 110 | Y= 501 | Pose= Horizontal | Length= 2
49: X= 110 | Y= 530 | Pose= Horizontal | Length= 6
50: X= 111 | Y= 453 | Pose= Vertical | Length= 3
51: X= 111 | Y= 454 | Pose= Vertical | Length= 1
52: X= 111 | Y= 459 | Pose= Vertical | Length= 2
53: X= 111 | Y= 489 | Pose= Horizontal | Length= 2
54: X= 111 | Y= 502 | Pose= Vertical | Length= 2
55: X= 111 | Y= 507 | Pose= Horizontal | Length= 10
56: X= 111 | Y= 530 | Pose= Vertical | Length= 3
57: X= 111 | Y= 535 | Pose= Vertical | Length= 3
58: X= 112 | Y= 458 | Pose= Vertical | Length= 2
59: X= 112 | Y= 490 | Pose= Vertical | Length= 5
60: X= 112 | Y= 492 | Pose= Horizontal | Length= 8
61: X= 112 | Y= 501 | Pose= Vertical | Length= 1
62: X= 112 | Y= 503 | Pose= Horizontal | Length= 5
63: X= 112 | Y= 510 | Pose= Vertical | Length= 2
64: X= 112 | Y= 516 | Pose= Vertical | Length= 2
65: X= 113 | Y= 454 | Pose= Horizontal | Length= 4
66: X= 113 | Y= 483 | Pose= Vertical | Length= 3
67: X= 113 | Y= 484 | Pose= Horizontal | Length= 2
68: X= 113 | Y= 494 | Pose= Vertical | Length= 5
69: X= 113 | Y= 496 | Pose= Vertical | Length= 2
70: X= 113 | Y= 505 | Pose= Vertical | Length= 2
71: X= 113 | Y= 508 | Pose= Vertical | Length= 2
72: X= 113 | Y= 509 | Pose= Vertical | Length= 1
73: X= 113 | Y= 511 | Pose= Horizontal | Length= 5
74: X= 113 | Y= 531 | Pose= Horizontal | Length= 4
75: X= 114 | Y= 485 | Pose= Vertical | Length= 2
76: X= 114 | Y= 495 | Pose= Vertical | Length= 1
77: X= 114 | Y= 497 | Pose= Horizontal | Length= 3
78: X= 114 | Y= 501 | Pose= Horizontal | Length= 4
79: X= 114 | Y= 506 | Pose= Horizontal | Length= 2
80: X= 115 | Y= 453 | Pose= Vertical | Length= 3
81: X= 115 | Y= 454 | Pose= Horizontal | Length= 2
82: X= 115 | Y= 464 | Pose= Vertical | Length= 3
83: X= 115 | Y= 465 | Pose= Horizontal | Length= 2
84: X= 115 | Y= 479 | Pose= Vertical | Length= 4
85: X= 115 | Y= 480 | Pose= Horizontal | Length= 3
86: X= 115 | Y= 486 | Pose= Vertical | Length= 4
87: X= 115 | Y= 499 | Pose= Vertical | Length= 2
88: X= 115 | Y= 501 | Pose= Vertical | Length= 2
89: X= 116 | Y= 402 | Pose= Horizontal | Length= 4
90: X= 116 | Y= 444 | Pose= Vertical | Length= 3
91: X= 116 | Y= 445 | Pose= Horizontal | Length= 2
92: X= 116 | Y= 455 | Pose= Vertical | Length= 4
93: X= 116 | Y= 457 | Pose= Horizontal | Length= 4
94: X= 116 | Y= 466 | Pose= Vertical | Length= 2
95: X= 116 | Y= 489 | Pose= Vertical | Length= 3
96: X= 116 | Y= 500 | Pose= Vertical | Length= 1
97: X= 117 | Y= 376 | Pose= Horizontal | Length= 6
98: X= 117 | Y= 401 | Pose= Vertical | Length= 2
99: X= 117 | Y= 402 | Pose= Vertical | Length= 1
100: X= 117 | Y= 405 | Pose= Vertical | Length= 3
101: X= 117 | Y= 446 | Pose= Horizontal | Length= 3
102: X= 117 | Y= 454 | Pose= Vertical | Length= 1
103: X= 117 | Y= 456 | Pose= Horizontal | Length= 2
104: X= 117 | Y= 460 | Pose= Vertical | Length= 3
105: X= 117 | Y= 465 | Pose= Vertical | Length= 1
106: X= 117 | Y= 492 | Pose= Vertical | Length= 2
107: X= 117 | Y= 493 | Pose= Vertical | Length= 1
108: X= 118 | Y= 318 | Pose= Vertical | Length= 15
109: X= 118 | Y= 319 | Pose= Horizontal | Length= 3
110: X= 118 | Y= 375 | Pose= Vertical | Length= 4
111: X= 118 | Y= 376 | Pose= Vertical | Length= 1
112: X= 118 | Y= 381 | Pose= Vertical | Length= 2
113: X= 118 | Y= 395 | Pose= Horizontal | Length= 6
114: X= 118 | Y= 445 | Pose= Vertical | Length= 2
115: X= 118 | Y= 448 | Pose= Vertical | Length= 2
116: X= 118 | Y= 480 | Pose= Horizontal | Length= 2
117: X= 118 | Y= 484 | Pose= Vertical | Length= 2
118: X= 118 | Y= 485 | Pose= Vertical | Length= 1
119: X= 118 | Y= 490 | Pose= Horizontal | Length= 2
120: X= 119 | Y= 321 | Pose= Vertical | Length= 2
121: X= 119 | Y= 379 | Pose= Vertical | Length= 6
122: X= 119 | Y= 380 | Pose= Vertical | Length= 1
123: X= 119 | Y= 395 | Pose= Vertical | Length= 2
124: X= 119 | Y= 404 | Pose= Vertical | Length= 3
125: X= 119 | Y= 446 | Pose= Horizontal | Length= 2
126: X= 119 | Y= 456 | Pose= Horizontal | Length= 4
127: X= 119 | Y= 481 | Pose= Horizontal | Length= 3
128: X= 120 | Y= 322 | Pose= Vertical | Length= 12
129: X= 120 | Y= 390 | Pose= Horizontal | Length= 5
130: X= 121 | Y= 372 | Pose= Horizontal | Length= 3
131: X= 121 | Y= 388 | Pose= Vertical | Length= 4
132: X= 121 | Y= 389 | Pose= Horizontal | Length= 2
133: X= 121 | Y= 402 | Pose= Vertical | Length= 2
134: X= 121 | Y= 403 | Pose= Vertical | Length= 1
135: X= 122 | Y= 321 | Pose= Vertical | Length= 1
136: X= 122 | Y= 363 | Pose= Horizontal | Length= 10
137: X= 122 | Y= 400 | Pose= Vertical | Length= 2
138: X= 122 | Y= 401 | Pose= Vertical | Length= 1
139: X= 123 | Y= 359 | Pose= Horizontal | Length= 5
